Site	Morph	Individual	Weight	Embryo
2	Female	11	0.181	viable
3	Female	15	0.181	viable
15	Hermaphrodite	1	0.181	viable
16	Female	38	0.181	viable
22	Female	9	0.181	viable
32	Hermaphrodite	31	0.181	viable
32	Hermaphrodite	42	0.181	viable
1	Female	28	0.180	viable
2	Female	24	0.180	viable
4	Hermaphrodite	22	0.180	viable
5	Female	18	0.180	viable
5	Female	21	0.180	viable
7	Hermaphrodite	13	0.180	viable
13	Hermaphrodite	1	0.180	viable
16	Female	1	0.180	viable
17	Female	25	0.180	viable
25	Female	5	0.180	viable
27	Hermaphrodite	5	0.180	viable
32	Female	2	0.180	viable
32	Hermaphrodite	39	0.180	viable
37	Hermaphrodite	10	0.180	viable
38	Hermaphrodite	3	0.180	viable
11	Hermaphrodite	4	0.179	viable
16	Female	20	0.179	viable
27	Female	20	0.179	viable
33	Hermaphrodite	12	0.179	viable
35	Female	6	0.179	viable
38	Hermaphrodite	12	0.179	viable
4	Female	23	0.178	viable
4	Hermaphrodite	30	0.178	viable
4	Hermaphrodite	37	0.178	viable
7	Female	11	0.178	viable
8	Female	29	0.178	viable
9	Female	26	0.178	viable
13	Female	14	0.178	viable
16	Female	6	0.178	viable
20	Female	13	0.178	viable
26	Hermaphrodite	14	0.178	viable
29	Female	11	0.178	viable
32	Hermaphrodite	44	0.178	viable
35	Female	27	0.178	viable
3	Female	14	0.177	viable
4	Female	10	0.177	viable
5	Female	31	0.177	viable
9	Female	25	0.177	viable
13	Hermaphrodite	3	0.177	viable
16	Female	2	0.177	viable
23	Female	14	0.177	viable
23	Hermaphrodite	7	0.177	viable
26	Hermaphrodite	20	0.177	viable
27	Female	18	0.177	viable
31	Female	37	0.177	viable
32	Female	1	0.177	viable
32	Female	18	0.177	viable
38	Female	22	0.177	viable
38	Hermaphrodite	2	0.177	viable
40	Female	5	0.177	viable
